Regione,Popolazione,Superficie,Densità,Comuni,Province
Lombardia,10103969,23863,423,1.506,12
Lazio,5865544,17232,340,378,5
Campania,5785861,13671,423,550,5
Sicilia,4968410,25832,192,390,9
Veneto,4907704,18345,268,563,7
Emilia-Romagna,4467118,22452,199,328,9
Piemonte,4341375,25387,171,1.181,8
Puglia,4008296,19541,205,257,6
Toscana,3722729,22987,162,273,10
Calabria,1924701,15222,126,404,5
Sardegna,1630474,24100,68,377,5
Liguria,1543127,5416,285,234,4
Marche,1518400,9401,162,227,5
Abruzzo,1305770,10831,121,305,4
Friuli Venezia Giulia,1211357,7924,153,215,4
Trentino-Alto Adige,1074819,13605,79,282,2
Umbria,880285,8464,104,92,2
Basilicata,556934,10073,55,131,2
Molise,302265,4460,68,136,2
Valle d'Aosta,125501,3260,38,74,1
